Proyecto,Fecha,Planificado,Registrado,Diferencia,Estado
A - Anexo 19250 - Transferencias móviles - Banco Industrial,,0.00,1.00,-1.00,Archivado
,21/02/2023,0.00,1.00,-1.00,Archivado
Alpha - Biometria nativa - Banco Industrial,,0.00,9.07,-9.07,Archivado
,18/01/2023,0.00,5.07,-5.07,Archivado
,17/01/2023,0.00,4.00,-4.00,Archivado
Alpha - Transferencias ACH con TC* - Banco Industrial,,0.00,134.63,-134.63,Archivado
,29/03/2023,0.00,3.50,-3.50,Archivado
,13/04/2023,0.00,6.50,-6.50,Archivado
,30/03/2023,0.00,8.06,-8.06,Archivado
,04/04/2023,0.00,14.75,-14.75,Archivado
,21/03/2023,0.00,3.50,-3.50,Archivado
,10/04/2023,0.00,7.03,-7.03,Archivado
,11/04/2023,0.00,10.36,-10.36,Archivado
,20/03/2023,0.00,2.38,-2.38,Archivado
,03/04/2023,0.00,15.74,-15.74,Archivado
,04/01/2023,0.00,2.14,-2.14,Archivado
,14/02/2023,0.00,3.00,-3.00,Archivado
,05/04/2023,0.00,12.00,-12.00,Archivado
,31/03/2023,0.00,5.39,-5.39,Archivado
,12/04/2023,0.00,6.50,-6.50,Archivado
,21/04/2023,0.00,4.00,-4.00,Archivado
,14/04/2023,0.00,14.48,-14.48,Archivado
,22/05/2023,0.00,14.29,-14.29,Archivado
,23/01/2023,0.00,1.00,-1.00,Archivado
Beta - Corrección de token en primer login - 20230413-005 - Banco Industrial,,0.00,7.50,-7.50,Archivado
,14/04/2023,0.00,7.50,-7.50,Archivado
BI - App Bi Banking - Banco Industrial,,0.00,553.48,-553.48,Archivado
,13/07/2023,0.00,9.23,-9.23,Archivado
,24/03/2023,0.00,8.00,-8.00,Archivado
,01/02/2023,0.00,8.00,-8.00,Archivado
,18/05/2023,0.00,6.00,-6.00,Archivado
,20/04/2023,0.00,9.33,-9.33,Archivado
,21/03/2023,0.00,2.75,-2.75,Archivado
,30/06/2023,0.00,15.63,-15.63,Archivado
,04/07/2023,0.00,8.00,-8.00,Archivado
,03/05/2023,0.00,4.13,-4.13,Archivado
,15/05/2023,0.00,5.00,-5.00,Archivado
,30/01/2023,0.00,8.00,-8.00,Archivado
,09/02/2023,0.00,8.00,-8.00,Archivado
,27/03/2023,0.00,7.00,-7.00,Archivado
,14/04/2023,0.00,8.32,-8.32,Archivado
,07/02/2023,0.00,8.00,-8.00,Archivado
,22/05/2023,0.00,16.00,-16.00,Archivado
,10/05/2023,0.00,7.50,-7.50,Archivado
,11/04/2023,0.00,9.42,-9.42,Archivado
,26/04/2023,0.00,6.83,-6.83,Archivado
,13/04/2023,0.00,6.92,-6.92,Archivado
,25/04/2023,0.00,9.00,-9.00,Archivado
,17/04/2023,0.00,5.50,-5.50,Archivado
,20/01/2023,0.00,8.00,-8.00,Archivado
,19/06/2023,0.00,11.00,-11.00,Archivado
,07/06/2023,0.00,9.78,-9.78,Archivado
,06/02/2023,0.00,8.00,-8.00,Archivado
,02/02/2023,0.00,8.00,-8.00,Archivado
,21/06/2023,0.00,11.50,-11.50,Archivado
,19/05/2023,0.00,7.00,-7.00,Archivado
,24/02/2023,0.00,0.50,-0.50,Archivado
,10/02/2023,0.00,8.00,-8.00,Archivado
,22/02/2023,0.00,0.50,-0.50,Archivado
,01/06/2023,0.00,8.00,-8.00,Archivado
,05/05/2023,0.00,7.00,-7.00,Archivado
,18/01/2023,0.00,4.00,-4.00,Archivado
,29/06/2023,0.00,10.35,-10.35,Archivado
,15/06/2023,0.00,7.50,-7.50,Archivado
,09/05/2023,0.00,6.00,-6.00,Archivado
,24/01/2023,0.00,8.00,-8.00,Archivado
,05/06/2023,0.00,7.50,-7.50,Archivado
,20/02/2023,0.00,0.50,-0.50,Archivado
,26/01/2023,0.00,8.00,-8.00,Archivado
,09/06/2023,0.00,20.48,-20.48,Archivado
,28/03/2023,0.00,7.00,-7.00,Archivado
,27/04/2023,0.00,6.00,-6.00,Archivado
,23/05/2023,0.00,16.00,-16.00,Archivado
,08/02/2023,0.00,8.00,-8.00,Archivado
,26/05/2023,0.00,8.00,-8.00,Archivado
,31/01/2023,0.00,8.00,-8.00,Archivado
,18/04/2023,0.00,8.50,-8.50,Archivado
,21/04/2023,0.00,6.00,-6.00,Archivado
,10/04/2023,0.00,7.50,-7.50,Archivado
,12/04/2023,0.00,8.00,-8.00,Archivado
,24/04/2023,0.00,7.00,-7.00,Archivado
,19/01/2023,0.00,8.00,-8.00,Archivado
,23/02/2023,0.00,0.50,-0.50,Archivado
,04/05/2023,0.00,6.50,-6.50,Archivado
,08/05/2023,0.00,5.00,-5.00,Archivado
,31/03/2023,0.00,6.00,-6.00,Archivado
,12/06/2023,0.00,1.75,-1.75,Archivado
,12/05/2023,0.00,8.00,-8.00,Archivado
,24/05/2023,0.00,8.00,-8.00,Archivado
,23/03/2023,0.00,8.67,-8.67,Archivado
,20/06/2023,0.00,12.00,-12.00,Archivado
,06/07/2023,0.00,9.00,-9.00,Archivado
,23/01/2023,0.00,4.00,-4.00,Archivado
,06/06/2023,0.00,8.00,-8.00,Archivado
,08/06/2023,0.00,12.38,-12.38,Archivado
,16/06/2023,0.00,7.50,-7.50,Archivado
,02/06/2023,0.00,8.00,-8.00,Archivado
,21/02/2023,0.00,4.00,-4.00,Archivado
,25/01/2023,0.00,8.00,-8.00,Archivado
,28/06/2023,0.00,2.00,-2.00,Archivado
La Tribu - Cambiagro - Cambiagro,,0.00,273.93,-273.93,Archivado
,09/02/2023,0.00,8.25,-8.25,Archivado
,02/01/2023,0.00,8.68,-8.68,Archivado
,01/02/2023,0.00,8.27,-8.27,Archivado
,26/01/2023,0.00,8.75,-8.75,Archivado
,13/02/2023,0.00,8.23,-8.23,Archivado
,10/02/2023,0.00,8.22,-8.22,Archivado
,08/05/2023,0.00,8.00,-8.00,Archivado
,30/01/2023,0.00,8.37,-8.37,Archivado
,11/01/2023,0.00,7.82,-7.82,Archivado
,23/01/2023,0.00,8.92,-8.92,Archivado
,09/05/2023,0.00,8.00,-8.00,Archivado
,16/01/2023,0.00,8.42,-8.42,Archivado
,04/01/2023,0.00,7.98,-7.98,Archivado
,08/02/2023,0.00,16.98,-16.98,Archivado
,06/02/2023,0.00,8.48,-8.48,Archivado
,18/01/2023,0.00,8.68,-8.68,Archivado
,06/01/2023,0.00,8.90,-8.90,Archivado
,31/01/2023,0.00,8.23,-8.23,Archivado
,02/02/2023,0.00,16.45,-16.45,Archivado
,14/02/2023,0.00,8.48,-8.48,Archivado
,27/01/2023,0.00,8.38,-8.38,Archivado
,03/01/2023,0.00,7.87,-7.87,Archivado
,25/01/2023,0.00,8.28,-8.28,Archivado
,24/01/2023,0.00,7.98,-7.98,Archivado
,10/01/2023,0.00,8.02,-8.02,Archivado
,07/02/2023,0.00,8.55,-8.55,Archivado
,03/02/2023,0.00,8.08,-8.08,Archivado
,15/02/2023,0.00,7.97,-7.97,Archivado
,17/01/2023,0.00,8.23,-8.23,Archivado
,05/01/2023,0.00,8.17,-8.17,Archivado
,09/01/2023,0.00,8.28,-8.28,Archivado
La Tribu - Fenix - Discovery Somos BI - ASDS-Tribu-20221222-041 - Banco Industrial,,0.00,67.25,-67.25,Archivado
,08/05/2023,0.00,0.83,-0.83,Archivado
,18/04/2023,0.00,9.50,-9.50,Archivado
,12/05/2023,0.00,4.50,-4.50,Archivado
,25/04/2023,0.00,7.02,-7.02,Archivado
,19/04/2023,0.00,5.00,-5.00,Archivado
,11/05/2023,0.00,3.50,-3.50,Archivado
,03/05/2023,0.00,3.75,-3.75,Archivado
,15/05/2023,0.00,12.25,-12.25,Archivado
,05/05/2023,0.00,2.25,-2.25,Archivado
,17/04/2023,0.00,3.00,-3.00,Archivado
,04/05/2023,0.00,1.25,-1.25,Archivado
,10/05/2023,0.00,4.25,-4.25,Archivado
,24/04/2023,0.00,1.97,-1.97,Archivado
,14/04/2023,0.00,1.77,-1.77,Archivado
,26/04/2023,0.00,2.00,-2.00,Archivado
,02/05/2023,0.00,4.42,-4.42,Archivado
La Tribu - Fenix - Varios Bi - Somos BI Fase 2 - Banco Industrial,,0.00,34.32,-34.32,Archivado
,14/02/2023,0.00,1.00,-1.00,Archivado
,21/04/2023,0.00,0.50,-0.50,Archivado
,12/04/2023,0.00,0.50,-0.50,Archivado
,26/05/2023,0.00,4.73,-4.73,Archivado
,20/03/2023,0.00,2.00,-2.00,Archivado
,30/06/2023,0.00,2.00,-2.00,Archivado
,14/04/2023,0.00,1.50,-1.50,Archivado
,08/02/2023,0.00,1.00,-1.00,Archivado
,28/03/2023,0.00,1.50,-1.50,Archivado
,09/05/2023,0.00,0.75,-0.75,Archivado
,14/03/2023,0.00,1.00,-1.00,Archivado
,20/04/2023,0.00,0.50,-0.50,Archivado
,24/03/2023,0.00,1.50,-1.50,Archivado
,24/05/2023,0.00,1.25,-1.25,Archivado
,06/02/2023,0.00,1.00,-1.00,Archivado
,30/03/2023,0.00,1.50,-1.50,Archivado
,13/04/2023,0.00,3.00,-3.00,Archivado
,17/03/2023,0.00,1.00,-1.00,Archivado
,17/05/2023,0.00,1.00,-1.00,Archivado
,15/03/2023,0.00,2.33,-2.33,Archivado
,31/05/2023,0.00,1.00,-1.00,Archivado
,11/04/2023,0.00,0.75,-0.75,Archivado
,23/03/2023,0.00,0.50,-0.50,Archivado
,21/03/2023,0.00,2.50,-2.50,Archivado
La Tribu - HybridTeam - Kino - Kino,,0.00,38.66,-38.66,Archivado
,11/02/2023,0.00,7.58,-7.58,Archivado
,08/02/2023,0.00,3.00,-3.00,Archivado
,09/06/2023,0.00,3.33,-3.33,Archivado
,10/02/2023,0.00,1.33,-1.33,Archivado
,12/02/2023,0.00,6.33,-6.33,Archivado
,03/02/2023,0.00,3.28,-3.28,Archivado
,09/02/2023,0.00,7.25,-7.25,Archivado
,13/02/2023,0.00,6.54,-6.54,Archivado
La Tribu - HybridTeam - Premium Restaurants of America - Mejoras Diseño UX/UI - Wendy´s,,0.00,173.03,-173.03,Archivado
,01/03/2023,0.00,4.07,-4.07,Archivado
,02/02/2023,0.00,4.69,-4.69,Archivado
,18/01/2023,0.00,2.30,-2.30,Archivado
,06/01/2023,0.00,5.71,-5.71,Archivado
,12/01/2023,0.00,1.25,-1.25,Archivado
,10/01/2023,0.00,5.96,-5.96,Archivado
,31/01/2023,0.00,6.71,-6.71,Archivado
,07/02/2023,0.00,1.77,-1.77,Archivado
,03/03/2023,0.00,4.96,-4.96,Archivado
,13/01/2023,0.00,5.91,-5.91,Archivado
,25/01/2023,0.00,1.77,-1.77,Archivado
,21/02/2023,0.00,4.94,-4.94,Archivado
,09/01/2023,0.00,6.98,-6.98,Archivado
,27/02/2023,0.00,5.61,-5.61,Archivado
,05/01/2023,0.00,7.24,-7.24,Archivado
,17/01/2023,0.00,2.35,-2.35,Archivado
,01/02/2023,0.00,1.17,-1.17,Archivado
,19/01/2023,0.00,1.91,-1.91,Archivado
,13/02/2023,0.00,6.68,-6.68,Archivado
,03/02/2023,0.00,5.01,-5.01,Archivado
,15/02/2023,0.00,6.58,-6.58,Archivado
,10/02/2023,0.00,1.78,-1.78,Archivado
,11/01/2023,0.00,6.11,-6.11,Archivado
,09/02/2023,0.00,5.14,-5.14,Archivado
,22/02/2023,0.00,8.45,-8.45,Archivado
,26/01/2023,0.00,4.42,-4.42,Archivado
,30/01/2023,0.00,7.38,-7.38,Archivado
,24/02/2023,0.00,2.68,-2.68,Archivado
,16/01/2023,0.00,6.58,-6.58,Archivado
,04/01/2023,0.00,4.72,-4.72,Archivado
,20/02/2023,0.00,2.02,-2.02,Archivado
,02/03/2023,0.00,8.74,-8.74,Archivado
,08/02/2023,0.00,3.66,-3.66,Archivado
,06/02/2023,0.00,6.20,-6.20,Archivado
,28/02/2023,0.00,5.11,-5.11,Archivado
,16/02/2023,0.00,6.46,-6.46,Archivado
La Tribu - NO Facturable,,0.00,50.33,-50.33,Archivado
,14/06/2023,0.00,4.00,-4.00,Archivado
,02/06/2023,0.00,2.00,-2.00,Archivado
,12/06/2023,0.00,3.00,-3.00,Archivado
,25/05/2023,0.00,2.50,-2.50,Archivado
,06/06/2023,0.00,2.83,-2.83,Archivado
,08/06/2023,0.00,3.50,-3.50,Archivado
,01/06/2023,0.00,4.33,-4.33,Archivado
,13/06/2023,0.00,6.50,-6.50,Archivado
,29/05/2023,0.00,2.67,-2.67,Archivado
,23/05/2023,0.00,2.67,-2.67,Archivado
,20/06/2023,0.00,5.33,-5.33,Archivado
,07/06/2023,0.00,5.50,-5.50,Archivado
,15/06/2023,0.00,3.00,-3.00,Archivado
,30/05/2023,0.00,2.50,-2.50,Archivado
La Tribu - Wizard - Celebrain Marketplace - Celebrain Market,,0.00,19.25,-19.25,Archivado
,03/01/2023,0.00,0.25,-0.25,Archivado
,27/01/2023,0.00,1.00,-1.00,Archivado
,18/01/2023,0.00,2.00,-2.00,Archivado
,10/01/2023,0.00,2.00,-2.00,Archivado
,24/01/2023,0.00,3.00,-3.00,Archivado
,16/01/2023,0.00,2.00,-2.00,Archivado
,04/01/2023,0.00,4.00,-4.00,Archivado
,26/01/2023,0.00,2.00,-2.00,Archivado
,02/01/2023,0.00,2.00,-2.00,Archivado
,09/01/2023,0.00,1.00,-1.00,Archivado
La Tribu - Wizard - Kino / Claro - Claro Guatemala,,0.00,3.71,-3.71,Archivado
,10/02/2023,0.00,0.63,-0.63,Archivado
,13/02/2023,0.00,3.08,-3.08,Archivado
Sigma - Onboarding TC Cliente Existente - 20221116-007 - Banco Industrial,,0.00,12.60,-12.60,Archivado
,25/04/2023,0.00,0.52,-0.52,Archivado
,21/04/2023,0.00,4.80,-4.80,Archivado
,24/04/2023,0.00,1.55,-1.55,Archivado
,24/03/2023,0.00,5.73,-5.73,Archivado
Total (01/01/2023 - 31/12/2023),,0.00,1378.76,,Archivado
